time_s,frame,object_name,object_index,active,kind,x_m,y_m,z_m,qx,qy,qz,qw,vx_m_s,vy_m_s,vz_m_s,wx_rad_s,wy_rad_s,wz_rad_s,mesh_z_min_m,mesh_z_max_m,mesh_z_span_m,mesh_xy_radius_m
0.0,0,object_a,0,1,rigid_box,-0.38,0.0,0.39999999999999997,0.0,0.0,0.0,1.0,0.57,0.0,0.0,0.0,0.0,0.0,,,,
0.0,0,object_b,1,1,rigid_box,0.38,0.0,0.39999999999999997,0.0,0.0,0.0,1.0,-0.44999999999999996,0.0,0.0,0.0,0.0,0.0,,,,
0.016666666666666666,1,object_a,0,1,rigid_box,-0.37050585500316074,-1.4764678404663885e-13,0.39999079639267643,6.366256588584672e-09,-2.040814919405464e-08,-1.2152975734526364e-10,0.9999999999999998,0.5693384624624727,-9.454773197978154e-12,-1.781327689520662e-11,1.7791410586314536e-10,6.262659587448426e-08,-1.4605912109604432e-08,,,,
0.016666666666666666,1,object_b,1,1,rigid_box,0.3725044250285397,-1.800154321794595e-13,0.39999079645771446,6.1497632438182264e-09,-2.0703329544388217e-08,1.1928814130694725e-10,0.9999999999999998,-0.4494999169901472,-1.1502848305806656e-11,2.3788348200992626e-10,2.204406536198805e-10,-6.153964909826607e-08,1.4290414226284887e-08,,,,
0.03333333333333333,2,object_a,0,1,rigid_box,-0.36102273092874393,-3.0533422834444554e-13,0.3999907963905019,6.367743098675695e-09,-1.9886286235501816e-08,-2.434640067720166e-10,0.9999999999999998,0.5686778698324823,-9.466919951392001e-12,-1.2850838795874786e-10,1.7879384151692975e-10,6.262088036319536e-08,-1.465519835074312e-08,,,,
0.03333333333333333,2,object_b,1,1,rigid_box,0.3650171828155927,-3.7136011958821514e-13,0.39999079645979935,6.151597536140812e-09,-2.121618489609376e-08,2.381615669918237e-10,0.9999999999999998,-0.4490004690121893,-1.1461073392043591e-11,1.2699792259485143e-10,2.1982655811563046e-10,-6.154529144937092e-08,1.424219331091711e-08,,,,
0.05,3,object_a,0,1,rigid_box,-0.3515506083999801,-4.632219341397428e-13,0.3999907963883656,6.369236936817933e-09,-1.936447072158868e-08,-3.65808211966145e-10,0.9999999999999998,0.5680182178732334,-9.478820098012568e-12,-1.2789180478534057e-10,1.7967286705618595e-10,6.26152039418597e-08,-1.4704311722765219e-08,,,,
0.05,3,object_b,1,1,rigid_box,0.3575382591417181,-5.620057949667503e-13,0.3999907964619224,6.153426690559582e-09,-2.1729087448896823e-08,3.5663240230800713e-10,0.9999999999999997,-0.4485016526384065,-1.1418986115849075e-11,1.2769773433118914e-10,2.1920782408589213e-10,-6.15509722892496e-08,1.4193802500781229e-08,,,,
0.06666666666666667,4,object_a,0,1,rigid_box,-0.34208947175602067,-6.213057970486667e-13,0.39999079638624024,6.370738096941227e-09,-1.8842702351382122e-08,-4.885609278673708e-10,0.9999999999999998,0.5673595046658348,-9.49047428489908e-12,-1.2719014383377747e-10,1.8055116419354332e-10,6.260956358650977e-08,-1.4753251808772092e-08,,,,
0.06666666666666667,4,object_b,1,1,rigid_box,0.35006764349018876,-7.519472378701938e-13,0.39999079646405644,6.155250668149925e-09,-2.224203750080254e-08,4.746992249542607e-10,0.9999999999999997,-0.44800346673873687,-1.1376584849087143e-11,1.283534077634041e-10,2.1858441105073445e-10,-6.155668902469154e-08,1.4145240886822857e-08,,,,
